task,feature_set,cohort,arm,n_recordings,n_participants,auroc_participant,ci_lo,ci_hi,auroc_recording,rec_ci_lo,rec_ci_hi,leaked_per_fold
read_text,mfcc,full,A_recording,94,46,1.0,1.0,1.0,0.9995,0.9973,1.0,15.28
read_text,mfcc,full,B_folder_path,94,46,0.9867,0.9489,1.0,0.9879,0.9663,1.0,0.88
read_text,mfcc,full,C_subject_key,94,46,0.9867,0.9484,1.0,0.9886,0.9658,1.0,0.0
read_text,mfcc,batch_matched,A_recording,74,39,1.0,1.0,1.0,1.0,1.0,1.0,12.24
read_text,mfcc,batch_matched,B_folder_path,74,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,mfcc,batch_matched,C_subject_key,74,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,egemaps,full,A_recording,94,46,1.0,1.0,1.0,0.9995,0.9973,1.0,15.28
read_text,egemaps,full,B_folder_path,94,46,0.9905,0.961,1.0,0.9899,0.9706,1.0,0.88
read_text,egemaps,full,C_subject_key,94,46,0.9905,0.961,1.0,0.9918,0.9753,1.0,0.0
read_text,egemaps,batch_matched,A_recording,74,39,1.0,1.0,1.0,1.0,1.0,1.0,12.24
read_text,egemaps,batch_matched,B_folder_path,74,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,egemaps,batch_matched,C_subject_key,74,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,silence,full,A_recording,94,46,1.0,1.0,1.0,1.0,1.0,1.0,15.28
read_text,silence,full,B_folder_path,94,46,1.0,1.0,1.0,1.0,1.0,1.0,0.88
read_text,silence,full,C_subject_key,94,46,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,silence,batch_matched,A_recording,74,39,1.0,1.0,1.0,1.0,1.0,1.0,12.24
read_text,silence,batch_matched,B_folder_path,74,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,silence,batch_matched,C_subject_key,74,39,1.0,1.0,1.0,1.0,1.0,1.0,0.0
read_text,channel,full,A_recording,94,46,0.9867,0.9545,1.0,0.9702,0.9375,0.9939,15.28
read_text,channel,full,B_folder_path,94,46,0.9086,0.8182,0.9731,0.8874,0.816,0.9443,0.88
read_text,channel,full,C_subject_key,94,46,0.8895,0.7866,0.964,0.8709,0.794,0.9324,0.0
read_text,channel,batch_matched,A_recording,74,39,0.9709,0.9144,1.0,0.9687,0.9315,0.9947,12.24
read_text,channel,batch_matched,B_folder_path,74,39,0.881,0.7416,0.9882,0.872,0.777,0.9539,0.0
read_text,channel,batch_matched,C_subject_key,74,39,0.8968,0.7722,0.9869,0.8798,0.7837,0.9557,0.0
vowel_a,mfcc,full,A_recording,99,47,0.9818,0.938,1.0,0.9764,0.9438,0.9976,16.48
vowel_a,mfcc,full,B_folder_path,99,47,0.9327,0.824,0.9982,0.9298,0.869,0.9741,1.12
vowel_a,mfcc,full,C_subject_key,99,47,0.9527,0.8755,0.9981,0.9329,0.8775,0.9737,0.0
vowel_a,mfcc,batch_matched,A_recording,79,40,0.9848,0.95,1.0,0.9766,0.9462,0.998,13.2
vowel_a,mfcc,batch_matched,B_folder_path,79,40,0.9293,0.8321,0.995,0.9325,0.875,0.9782,0.0
vowel_a,mfcc,batch_matched,C_subject_key,79,40,0.9293,0.83,1.0,0.9448,0.8915,0.9865,0.0
vowel_a,egemaps,full,A_recording,99,47,0.9945,0.977,1.0,0.9938,0.9821,1.0,16.48
vowel_a,egemaps,full,B_folder_path,99,47,0.9818,0.9454,1.0,0.9723,0.9418,0.9932,1.12
vowel_a,egemaps,full,C_subject_key,99,47,0.9764,0.9309,1.0,0.9721,0.9411,0.9938,0.0
vowel_a,egemaps,batch_matched,A_recording,79,40,0.9975,0.985,1.0,0.9968,0.9881,1.0,13.2
vowel_a,egemaps,batch_matched,B_folder_path,79,40,0.9975,0.985,1.0,0.9948,0.9833,1.0,0.0
vowel_a,egemaps,batch_matched,C_subject_key,79,40,0.9949,0.9772,1.0,0.9942,0.9822,1.0,0.0
vowel_a,channel,full,A_recording,78,46,0.8712,0.7577,0.9596,0.826,0.7278,0.9116,10.84
vowel_a,channel,full,B_folder_path,78,46,0.7784,0.6324,0.9107,0.7319,0.6113,0.8451,1.2
vowel_a,channel,full,C_subject_key,78,46,0.7841,0.6413,0.9128,0.7293,0.6059,0.8395,0.0
vowel_a,channel,batch_matched,A_recording,59,39,0.9011,0.7887,0.9805,0.8645,0.7592,0.9485,6.8
vowel_a,channel,batch_matched,B_folder_path,59,39,0.861,0.7245,0.9674,0.8368,0.7216,0.9309,0.0
vowel_a,channel,batch_matched,C_subject_key,59,39,0.8743,0.7395,0.9756,0.848,0.7364,0.9372,0.0
