task,feature_set,cohort,A_recording,B_folder_path,C_subject_key
read_text,channel,batch_matched,"0.971 [0.914, 1.000]","0.881 [0.742, 0.988]","0.897 [0.772, 0.987]"
read_text,channel,full,"0.987 [0.955, 1.000]","0.909 [0.818, 0.973]","0.890 [0.787, 0.964]"
read_text,egemaps,batch_matched,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
read_text,egemaps,full,"1.000 [1.000, 1.000]","0.990 [0.961, 1.000]","0.990 [0.961, 1.000]"
read_text,mfcc,batch_matched,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
read_text,mfcc,full,"1.000 [1.000, 1.000]","0.987 [0.949, 1.000]","0.987 [0.948, 1.000]"
read_text,silence,batch_matched,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
read_text,silence,full,"1.000 [1.000, 1.000]","1.000 [1.000, 1.000]","1.000 [1.000, 1.000]"
vowel_a,channel,batch_matched,"0.901 [0.789, 0.981]","0.861 [0.725, 0.967]","0.874 [0.739, 0.976]"
vowel_a,channel,full,"0.871 [0.758, 0.960]","0.778 [0.632, 0.911]","0.784 [0.641, 0.913]"
vowel_a,egemaps,batch_matched,"0.997 [0.985, 1.000]","0.997 [0.985, 1.000]","0.995 [0.977, 1.000]"
vowel_a,egemaps,full,"0.995 [0.977, 1.000]","0.982 [0.945, 1.000]","0.976 [0.931, 1.000]"
vowel_a,mfcc,batch_matched,"0.985 [0.950, 1.000]","0.929 [0.832, 0.995]","0.929 [0.830, 1.000]"
vowel_a,mfcc,full,"0.982 [0.938, 1.000]","0.933 [0.824, 0.998]","0.953 [0.875, 0.998]"
